date,price,market_cap,mvrv,btc_price,fear_greed
2015-08-08,1.19999,86768712.520746,5.78278879,261.450275569842,
2015-08-09,1.19999,86801326.18646318,4.88081534,266.342020455874,
2015-08-10,1.19999,86834706.72078975,4.62344756,264.928825248393,
2015-08-11,0.99,71666977.5726102,3.83427474,271.421736119229,
2015-08-12,1.288,93274715.49833024,4.70208081,268.143868497954,
2015-08-13,1.8848,136547211.2614199,6.08626751,264.691627995324,
2015-08-14,1.79504416247808,130100550.62356696,5.43349984,266.355941554646,
2015-08-15,1.78222244301578,129222078.65185182,4.41871028,261.936836645237,
2015-08-16,1.53307377556984,111198807.19005358,3.78569826,258.930817389831,
2015-08-17,1.29638,94067093.68848464,3.81169381,258.009398305085,
2015-08-18,1.08418656925774,78698415.4988737,3.15009403,217.885883116937,
2015-08-19,1.24,90042355.9131052,3.4798352,227.218251899474,
2015-08-20,1.5218,110537252.03254616,3.98691003,235.523883109293,
2015-08-21,1.43588,104334703.90861835,3.77588797,232.80061783986,
2015-08-22,1.4,101766142.230522,3.64363585,230.639173290473,
2015-08-23,1.35,98167082.2446105,3.49516511,228.673073933372,
2015-08-24,1.23804,90059598.58597623,3.24203363,211.955917592051,
2015-08-25,1.27119,92505038.58104803,3.28295633,222.655039450614,
2015-08-26,1.18,85899946.1831364,3.0647458,226.116700175336,
2015-08-27,1.13646,82758264.32220154,2.96609185,224.939877264757,
2015-08-28,1.295,94334692.67729536,3.29829906,232.17080829924,
2015-08-29,1.179,85911192.23873067,3.02115454,229.826200175336,
2015-08-30,1.32,96213877.4843136,3.30712308,229.019572472238,
2015-08-31,1.30651,95258420.90117249,3.27217355,230.689466101695,
2015-09-01,1.36,99186069.9417928,3.31858996,227.955570426651,
2015-09-02,1.30828087083577,95438206.2736662,3.21459317,229.502180709527,
2015-09-03,1.23357,90009539.28848416,3.04856863,227.107121566335,
2015-09-04,1.23357,90038012.39702791,3.03745708,231.177563413209,
2015-09-05,1.36287107188779,99510599.2896975,3.30058859,235.903006136762,
2015-09-06,1.34,97875723.9411782,3.23900739,240.805472238457,
2015-09-07,1.27561,93205053.90959167,3.09867966,240.6336157218,
2015-09-08,1.26349378725891,92352468.31674197,3.06021213,244.174952659264,
2015-09-09,1.21,88474432.4434333,2.83894004,238.722463179427,
2015-09-10,1.1857,86728986.76817092,2.78973383,238.750477206312,
2015-09-11,0.927715708357686,67883786.49239528,2.25259009,240.845008116891,
2015-09-12,1.14639,83915118.41634575,2.68992164,236.351832176505,
2015-09-13,0.88557,64846414.26779794,2.15049852,230.548837317358,
2015-09-14,0.955,69954905.87778465,2.29659908,230.948793980129,
2015-09-15,0.95,69612984.3729435,2.5170821,230.398590005845,
2015-09-16,0.93634,68636665.64764872,2.48099049,229.043285797779,
2015-09-17,0.875,64162506.98001375,2.33899071,233.202697837522,
2015-09-18,0.85226,62517083.691199325,2.28456208,233.175130917592,
2015-09-19,0.883689479836353,64846601.67246629,2.34796246,232.241568088837,
2015-09-20,0.94116,69090220.04655935,2.47372585,231.362323787259,
2015-09-21,0.94116,69115303.72523434,2.46892478,226.773447983635,
2015-09-22,0.80588,59202092.99863969,2.15548222,230.626304792519,
2015-09-23,0.91,66875668.8310893,2.39300012,230.132437755698,
2015-09-24,0.8,58812905.399584,2.13476982,234.319868497954,
2015-09-25,0.68233,50180687.432132065,1.84051674,235.538221800117,
2015-09-26,0.77032,56671707.129159436,2.04735816,234.591814436002,
2015-09-27,0.700769905318527,51572500.0708441,1.87468697,233.243309760374,
2015-09-28,0.604208065458796,44481055.093760915,1.63593024,240.017265341905,
2015-09-29,0.68163,50197370.450510554,1.81560795,237.336233781414,
2015-09-30,0.713644313851549,52572915.59156994,1.88747036,236.739848042081,
2015-10-01,0.654722555230859,48250207.57113145,1.7449154,238.229813851549,
2015-10-02,0.66467,49001179.376069054,1.76594782,237.937007305669,
2015-10-03,0.6796,50119835.2871341,1.80112465,239.735897720631,
2015-10-04,0.60954,44968509.986859284,1.7681262,239.516924897721,
2015-10-05,0.60777,44853814.32672834,1.76307409,240.961213833431,
2015-10-06,0.65114,48070850.344731405,1.87289931,246.940498246639,
2015-10-07,0.6,44311085.455938,1.73984036,243.734486849795,
2015-10-08,0.633798841028638,46824163.15380946,1.82176106,243.029632963179,
2015-10-09,0.635190847457627,46943169.12292179,1.82134949,244.448887492694,
2015-10-10,0.635190847457627,46959366.29103482,1.81920274,245.955924313267,
2015-10-11,0.59931,44322597.72193554,1.72291151,248.528165400351,
2015-10-12,0.63,46609195.1256099,1.79649186,246.093637346581,
2015-10-13,0.601639343658679,44527037.64569004,1.71740921,250.471300701344,
2015-10-14,0.483236302162478,35776589.693225875,1.39636066,253.142325540619,
2015-10-15,0.559861985973115,41463940.65984188,1.68771447,254.693015002922,
2015-10-16,0.525,38895383.7231645,1.58457216,262.737363237873,
2015-10-17,0.52299,38760303.38070742,1.57654959,271.930938924605,
2015-10-18,0.505,37440065.76708115,1.52770711,263.481677381648,
2015-10-19,0.499479725306838,37043769.38382885,1.4982944,264.362728229106,
2015-10-20,0.440034716540035,32646573.108736265,1.32167465,270.832211864407,
2015-10-21,0.42,31171118.8816566,1.25876092,268.040217708942,
2015-10-22,0.546183513734658,40549909.63088007,1.5882966,275.414956458212,
2015-10-23,0.56491,41955772.68374406,1.62767608,278.612778026885,
2015-10-24,0.55606,41313564.29308147,1.60330784,283.61114289889,
2015-10-25,0.624364857977791,46405149.04648364,1.78113684,286.04969345412,
2015-10-26,0.700519544126242,52083404.289427474,1.96516266,286.703382817066,
2015-10-27,0.83,61733084.1958184,2.2236057,295.562913793104,
2015-10-28,0.99,73659519.0163602,2.58630067,304.442097019287,
2015-10-29,1.17940672121566,87784498.73304743,2.68866354,314.879462302747,
2015-10-30,1.12067336586791,83443977.76413898,2.52814732,328.492321157218,
2015-10-31,0.889342571595558,66244048.41994913,2.05135907,314.119508182349,
2015-11-01,0.99,73769570.0460477,2.25825307,329.854227644652,
2015-11-02,0.9878,73632440.84944883,2.26082824,364.616627995324,
2015-11-03,1.04736265341905,78101264.5761037,2.37680286,400.923105201637,
2015-11-04,0.799,59603141.72595952,1.85455408,405.481681472823,
2015-11-05,0.87638,65399388.66363116,2.01179401,384.341222969024,
2015-11-06,0.959652834599649,71639895.17718773,2.2780684,372.975417884278,
2015-11-07,0.911850192869667,68095698.12088335,2.18745832,386.504550847458,
2015-11-08,1.0,74705891.59323,2.37940703,372.400129748685,
2015-11-09,0.998,74583485.22223105,2.32150138,380.495644360023,
2015-11-10,0.901914669783752,67427497.13796787,2.10777942,337.830502337814,
2015-11-11,0.750047340736411,56094701.21624744,1.78114722,308.922185856225,
2015-11-12,0.88,65838296.7270424,2.31068324,337.522988603156,
2015-11-13,0.89998421975453,67358807.22978185,2.36111323,337.278958211572,
2015-11-14,0.88,65888054.4020424,2.31161449,333.047117475161,
2015-11-15,0.91,68159827.4170268,2.37911147,319.928021624781,
2015-11-16,0.914427235534775,68516482.26103978,2.41513021,331.132725014611,
2015-11-17,0.999284628872005,74902476.571104,2.58968209,335.849786090006,
2015-11-18,0.996753607247224,74739924.62661138,2.58197813,335.744504967855,
2015-11-19,0.94,70509318.6601362,2.45442605,326.232145528931,
2015-11-20,0.92,69032240.4220216,2.40600396,321.940475452951,
2015-11-21,0.96,72059353.0795008,2.49551433,325.905231151373,
2015-11-22,0.97,72836150.2766831,2.51501082,323.716966101695,
2015-11-23,0.92,69106800.0970216,2.36795249,323.012556341321,
2015-11-24,0.910014781998831,68381181.7829319,2.3390317,319.961356527177,
2015-11-25,0.87,65397384.1439226,2.24598819,328.960457334892,
2015-11-26,0.858832719462303,64580738.36585753,2.17251787,356.255292518995,
2015-11-27,0.88,66196972.4895424,2.245669,359.268824371712,
2015-11-28,0.907557786090006,68294661.33541176,2.30586779,356.567322618352,
2015-11-29,0.87,65492194.4329851,2.22369564,371.707612507306,
2015-11-30,0.88,66269055.0770424,2.24870122,377.389839859731,
2015-12-01,0.863293395675044,65034729.329989165,2.21070608,362.532375803624,
2015-12-02,0.82,61794621.2845736,2.10810364,359.22240414962,
2015-12-03,0.83,62571506.7505059,2.12661247,361.210068088837,
2015-12-04,0.84,63347791.0008132,2.14817831,363.241631794272,
2015-12-05,0.86993,65628057.49592045,2.21371558,389.362958796026,
2015-12-06,0.82499,62259416.84488788,2.11061662,393.319129748685,
2015-12-07,0.78994398012858,59635709.69850258,2.02679247,395.346588252484,
2015-12-08,0.79461,60008872.48141524,2.03735342,413.798660432496,
2015-12-09,0.80511,60824635.480041035,2.06036803,417.632671244886,
2015-12-10,0.84374,63766247.34014376,2.14868727,415.729924313267,
2015-12-11,0.899800105201637,68027344.57577558,2.26766408,453.86148012858,
2015-12-12,0.96,72604739.2795008,2.39707248,435.85572238457,
2015-12-13,0.91994,69600677.095126,2.30625382,434.403466393922,
2015-12-14,0.99,74927707.1601102,2.43363055,442.991689655173,
2015-12-15,1.0,75711567.21823,2.43789551,464.617871712449,
2015-12-16,0.8671,65672441.097692855,2.08468404,454.142492402104,
2015-12-17,0.94,71219013.2257612,2.22900749,456.240134611338,
2015-12-18,0.9,68212421.324532,2.14360332,463.175769725307,
2015-12-19,0.893520944476914,67745215.59716712,2.12732627,461.399907948568,
2015-12-20,0.96,72810921.4795008,2.26178739,442.15399006429,
2015-12-21,0.91,69042762.5951518,2.15484683,437.640129456458,
2015-12-22,0.88,66790717.0145424,2.09197779,435.268379018118,
2015-12-23,0.87093,66126180.175708994,2.0736047,442.665727060199,
2015-12-24,0.87,66078786.3595476,2.07039047,455.878713033314,
2015-12-25,0.865924904734074,65792482.06411678,2.06124569,455.718825832846,
2015-12-26,0.853,64833110.96230644,2.03280208,418.221531560491,
2015-12-27,0.86893,66067220.43986316,2.06489297,422.705894506137,
2015-12-28,0.842445938047925,64076356.725127645,2.01273311,421.052879602572,
2015-12-29,0.86,65434445.5233028,2.04714227,431.340021332554,
2015-12-30,0.896515517241379,68236755.24640092,2.12437757,426.043646990064,
2015-12-31,0.94884,72244875.99602035,2.22548049,429.677153419053,
2016-01-01,0.92037,70101158.57665172,2.16605632,434.678006428989,
2016-01-02,0.94999,72383218.20974787,2.22649136,434.439877264757,
2016-01-03,0.957062928112215,72948617.97720073,2.23809044,430.136180011689,
2016-01-04,0.95,72436321.7323185,2.22238525,433.44897106955,
2016-01-05,0.9426,71898322.15799735,2.20757338,432.669502630041,
2016-01-06,0.95,72489013.1854435,2.22774819,430.677869666862,
2016-01-07,0.939947483343074,71747363.13574612,2.20804468,459.208940093513,
2016-01-08,0.985,75213854.6623003,2.29828206,454.134423728814,
2016-01-09,0.969910045587376,74088362.58719026,2.26559203,449.845216247808,
2016-01-10,1.0,76414127.06198,2.3247523,448.580216247808,
2016-01-11,1.07090673290473,81861323.16336319,2.4620569,449.033059029807,
2016-01-12,1.17745,90036108.00523773,2.63709005,441.768157218001,
2016-01-13,1.13743,87006079.40509541,2.56117759,432.310645236704,
2016-01-14,1.16592069608416,89216820.086528,2.61281352,429.823224722385,
2016-01-15,1.29089104734074,98814204.74270749,2.81991099,367.823199883109,
2016-01-16,1.21179,92791374.79568987,2.66310578,388.071204558738,
2016-01-17,1.31093687901812,100418299.58951904,2.64132391,382.482086499123,
2016-01-18,1.46624418176505,112353933.97018512,2.7990783,384.865166569258,
2016-01-19,1.35304659848042,103715244.37755822,2.61101411,378.161725014611,
2016-01-20,1.45662153009936,111693248.50100006,2.7676534,420.622924168323,
2016-01-21,1.49593,114746182.07519493,2.8235497,409.298459672706,
2016-01-22,1.52,116632393.0467096,2.83956376,381.046459380479,
2016-01-23,2.01225053594389,154455536.26265392,3.58174779,386.370602571596,
2016-01-24,2.1013847849211,161354508.0151729,3.62872686,403.446926651081,
2016-01-25,2.53372158971362,194616541.8045468,4.16871915,391.986097311514,
2016-01-26,2.38058670368206,182918408.65836024,3.87587743,391.142935125657,
2016-01-27,2.40130981823495,184573406.717385,3.88137912,394.62753037405,
2016-01-28,2.54645331911163,195797300.3008096,4.03478121,378.900995616599,
2016-01-29,2.48763545119813,191339869.8199584,3.91742164,378.99999482291,
2016-01-30,2.44067,187791386.93091583,3.77984548,377.262779076564,
2016-01-31,2.24267177966102,172614493.8899969,3.52024342,366.341687609585,
2016-02-01,2.16739736703682,166878042.0525704,2.97920958,371.22343509059,
2016-02-02,2.44653,188433045.3637584,3.28311151,372.927631209819,
2016-02-03,2.53,194931022.6277469,3.34432539,368.098206604325,
2016-02-04,2.55007,196545108.5127402,3.34470424,389.723081239042,
2016-02-05,2.56451,197726172.5900855,3.1728161,384.398413983051,
2016-02-06,2.54902,196599034.7054595,3.15461147,374.631555523086,
2016-02-07,2.89807110052601,223597738.38338748,3.33669411,375.153917592051,
2016-02-08,3.18377219345412,245725570.13072163,3.57093132,370.814350327294,
2016-02-09,3.89347676504968,300604098.73497325,4.14490261,373.5116128609,
2016-02-10,4.37768284453536,338102777.6572044,4.08873952,379.082611630625,
2016-02-11,5.87194032261835,453664650.6957645,5.06499071,377.639165108124,
2016-02-12,5.47040384395091,422787001.8169083,4.55004515,382.294456458212,
2016-02-13,5.21879062419638,403481065.04103845,4.34342257,389.598432472238,
2016-02-14,5.15584398305085,398750211.40305775,3.55259197,406.150669491525,
2016-02-15,5.15268737580363,398641211.926357,3.51569827,399.26761864699,
2016-02-16,4.26236679544126,329873667.91527957,2.94045155,407.035309468147,
2016-02-17,3.81098028872005,295037737.900069,2.64807663,415.324113383986,
2016-02-18,4.366827735827,338184704.1965692,2.97167403,421.289662981882,
2016-02-19,4.58564058328463,355252683.61597854,3.07514061,419.626528541204,
2016-02-20,4.35048920105202,337150899.0673878,2.93386062,440.195760081823,
2016-02-21,4.62442860549386,358503162.85797846,3.09085,438.718612681473,
2016-02-22,5.59370853594389,433795077.5321726,3.65668403,437.535295094097,
2016-02-23,5.60993619696084,435200353.3211109,3.64876153,420.032592609585,
2016-02-24,6.23428100935126,483799717.8685837,3.99644109,423.995112507306,
2016-02-25,6.07227434482759,471390374.83529264,3.86721974,424.090870251315,
2016-02-26,5.87555043717125,456275314.3264168,3.33886106,431.762241963764,
2016-02-27,6.31073388778492,490235501.3311472,3.4736779,432.947845996493,
2016-02-28,6.49883606838106,505019542.90805614,3.54504607,433.102262711864,
2016-02-29,6.33325343074226,492312028.7495219,3.34140044,437.775872589129,
2016-03-01,7.52637569959088,585258049.42463,3.54725879,432.807867153711,
2016-03-02,8.51878790765634,662655932.070269,3.42307194,423.079789392168,
2016-03-03,9.28491024430157,722493178.4900848,3.57186608,419.268821332554,
2016-03-04,9.97869814319112,776737643.0951619,3.47951158,407.990154295734,
2016-03-05,10.7510062758621,837139607.0847107,3.54122008,397.314453945061,
2016-03-06,10.9844067209234,855592604.6820894,3.54561837,403.705187463472,
2016-03-07,9.47688401578024,738415566.6658247,3.085328,413.22936616014,
2016-03-08,9.7728496277031,761728847.0028065,2.98989714,411.425953243717,
2016-03-09,11.8170986516657,921368689.0191956,3.49687097,412.540703506721,
2016-03-10,11.1656511233197,870873244.9685005,3.29736543,416.340928696669,
2016-03-11,11.122905396844,867831820.5312504,3.24988767,419.511934248977,
2016-03-12,13.283658818235,1036768512.4210784,3.73441292,410.264163296318,
2016-03-13,14.3400544862653,1119609292.8327,3.83057849,411.805882466394,
2016-03-14,12.311385849211,961544758.2434967,2.99608053,415.026957276446,
2016-03-15,13.0422990222092,1019037819.7977242,3.01175522,415.266400292227,
2016-03-16,12.7028209514904,992913292.7748896,2.95057147,417.024118468732,
2016-03-17,11.0503306107539,864100619.0854107,2.72713865,418.605363822326,
2016-03-18,10.8461398468732,848472850.1842371,2.69895933,408.901587405026,
2016-03-19,10.5016330590298,821859623.2584909,2.60814953,409.124429865576,
2016-03-20,10.2405717878434,801752398.5918351,2.47439658,412.056953828171,
2016-03-21,11.8347655233781,926936176.6890637,2.81484513,411.601774050263,
2016-03-22,11.2960089403857,885097278.8548592,2.66823898,416.581653828171,
2016-03-23,12.4052275651666,972398166.7089897,2.79046909,417.378299532437,
2016-03-24,11.167820943308,875760776.103939,2.5067942,413.560239918177,
2016-03-25,10.6561121274109,835973297.1015304,2.39004105,416.373243834015,
